brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,999.0,379.0,62.06206206206206,False,,
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,March 2016,Furniture,32157.0,22646.0,29.576764001617068,False,,
AW,AW Bellies,March 2016,Footwear,999.0,499.0,50.050050050050054,False,,
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,699.0,267.0,61.80257510729614,False,,
Sicons,Sicons All Purpose Arnica Dog Shampoo,March 2016,Pet Supplies,220.0,210.0,4.545454545454546,False,,
Eternal Gandhi,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,March 2016,Eternal Gandhi Super Series Crystal Paper Weight...,430.0,430.0,0.0,False,,
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,1199.0,479.0,60.05004170141785,False,,
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,March 2016,Furniture,32157.0,22646.0,29.576764001617068,False,,
dilli bazaaar,"dilli bazaaar Bellies, Corporate Casuals, Casuals",March 2016,Footwear,699.0,349.0,50.07153075822603,False,,
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,1199.0,479.0,60.05004170141785,False,,
Ladela,Ladela Bellies,March 2016,Footwear,1724.0,950.0,44.895591647331784,False,5.0,5.0
Carrel,Carrel Printed Women's,March 2016,Clothing,2299.0,910.0,60.41757285776425,False,,
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,999.0,379.0,62.06206206206206,False,,
Freelance,Freelance Vacuum Bottles 350 ml Bottle,March 2016,Pens & Stationery,699.0,699.0,0.0,False,,
Alisha,Alisha Solid Women's Cycling Shorts,March 2016,Clothing,999.0,379.0,62.06206206206206,False,,
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,March 2016,Furniture,32157.0,22646.0,29.576764001617068,False,,
Style Foot,Style Foot Bellies,March 2016,Footwear,899.0,449.0,50.055617352614014,False,,
Carrel,Carrel Printed Women's,March 2016,Clothing,2499.0,999.0,60.024009603841534,False,,
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,March 2016,Furniture,32157.0,22646.0,29.576764001617068,False,,
dongli,dongli Printed Boy's Round Neck T-Shirt,March 2016,Clothing,2400.0,1039.0,56.708333333333336,False,,
SWAGGA,SWAGGA Women Clogs,March 2016,Footwear,1500.0,1500.0,0.0,False,,
,Glus Wedding Lingerie Set,January 2016,Clothing,1299.0,699.0,46.18937644341801,False,,
,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,January 2016,Sports & Fitness,3199.0,2499.0,21.88183807439825,False,,
,Bulaky vanity case Jewellery Vanity Case,January 2016,Beauty and Personal Care,499.0,390.0,21.8436873747495,False,3.0,3.0
,FDT Women's Leggings,January 2016,Clothing,699.0,309.0,55.793991416309005,False,,
,Madcaps C38GR30 Men's Cargos,January 2016,Clothing,2199.0,1699.0,22.73760800363802,False,,
Bengal Blooms,Bengal Blooms Rose Artificial Plant  with Pot,May 2016,Bengal Blooms Rose Artificial Plant  with Pot (3...,799.0,579.0,27.53441802252816,False,,
Indcrown,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,June 2016,Clothing,999.0,699.0,30.03003003003003,False,,
Shopmania,Shopmania Music Band A5 Notebook Spiral Bound,June 2016,Pens & Stationery,499.0,275.0,44.88977955911824,False,,
Shopmania,Shopmania Music Band A5 Notebook Spiral Bound,June 2016,Pens & Stationery,499.0,275.0,44.88977955911824,False,,
